"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2014Q2","Slovenia","Total","Total","Total","Total positive decisions","Person","15",""
"2014Q2","Slovenia","Total","Total","Total","Rejected","Person","15",""
"2014Q2","Sweden","Albania","Total","Total","Total","Person","200",""
"2014Q2","Sweden","Albania","Total","Total","Total positive decisions","Person","5",""
"2014Q2","Sweden","Albania","Total","Total","Rejected","Person","195",""
"2014Q2","Sweden","Serbia","Total","Total","Total","Person","110",""
"2014Q2","Sweden","Serbia","Total","Total","Total positive decisions","Person","5",""
"2014Q2","Sweden","Serbia","Total","Total","Rejected","Person","105",""
"2014Q2","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","110",""
"2014Q2","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","5",""
"2014Q2","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","100",""
"2014Q2","Sweden","Russia","Total","Total","Total","Person","180",""
"2014Q2","Sweden","Russia","Total","Total","Total positive decisions","Person","70",""
"2014Q2","Sweden","Russia","Total","Total","Rejected","Person","110",""
"2014Q2","Sweden","Extra EU-28","Total","Total","Total","Person","9,395",""
"2014Q2","Sweden","Extra EU-28","Total","Total","Total positive decisions","Person","7,070",""
"2014Q2","Sweden","Extra EU-28","Total","Total","Rejected","Person","2,325",""
"2014Q2","Sweden","Eritrea","Total","Total","Total","Person","760",""
"2014Q2","Sweden","Eritrea","Total","Total","Total positive decisions","Person","760",""
"2014Q2","Sweden","Eritrea","Total","Total","Rejected","Person","5",""
"2014Q2","Sweden","Afghanistan","Total","Total","Total","Person","490",""
"2014Q2","Sweden","Afghanistan","Total","Total","Total positive decisions","Person","350",""
"2014Q2","Sweden","Afghanistan","Total","Total","Rejected","Person","145",""
"2014Q2","Sweden","Pakistan","Total","Total","Total","Person","40",""
"2014Q2","Sweden","Pakistan","Total","Total","Total positive decisions","Person","5",""
"2014Q2","Sweden","Pakistan","Total","Total","Rejected","Person","30",""
"2014Q2","Sweden","Iraq","Total","Total","Total","Person","205",""
"2014Q2","Sweden","Iraq","Total","Total","Total positive decisions","Person","75",""
"2014Q2","Sweden","Iraq","Total","Total","Rejected","Person","125",""
"2014Q2","Sweden","Syria","Total","Total","Total","Person","3,975",""
"2014Q2","Sweden","Syria","Total","Total","Total positive decisions","Person","3,975",""
"2014Q2","Sweden","Syria","Total","Total","Rejected","Person","0",""
"2014Q2","Sweden","Total","Total","Total","Total","Person","9,410",""
"2014Q2","Sweden","Total","Total","Total","Total positive decisions","Person","7,070",""
"2014Q2","Sweden","Total","Total","Total","Rejected","Person","2,340",""
"2014Q2","United Kingdom","Albania","Total","Total","Total","Person","230",""
"2014Q2","United Kingdom","Albania","Total","Total","Total positive decisions","Person","35",""
"2014Q2","United Kingdom","Albania","Total","Total","Rejected","Person","195",""
"2014Q2","United Kingdom","Serbia","Total","Total","Total","Person","0",""
"2014Q2","United Kingdom","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q2","United Kingdom","Serbia","Total","Total","Rejected","Person","0",""
"2014Q2","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","5",""
"2014Q2","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","0",""
"2014Q2","United Kingdom","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","5",""
"2014Q2","United Kingdom","Russia","Total","Total","Total","Person","15",""
"2014Q2","United Kingdom","Russia","Total","Total","Total positive decisions","Person","10",""
"2014Q2","United Kingdom","Russia","Total","Total","Rejected","Person","5",""
"2014Q2","United Kingdom","Extra EU-28","Total","Total","Total","Person","4,705",""
"2014Q2","United Kingdom","Extra EU-28","Total","Total","Total positive decisions","Person","1,860",""
"2014Q2","United Kingdom","Extra EU-28","Total","Total","Rejected","Person","2,840",""
"2014Q2","United Kingdom","Eritrea","Total","Total","Total","Person","370",""
"2014Q2","United Kingdom","Eritrea","Total","Total","Total positive decisions","Person","295",""
"2014Q2","United Kingdom","Eritrea","Total","Total","Rejected","Person","75",""
"2014Q2","United Kingdom","Afghanistan","Total","Total","Total","Person","270",""
"2014Q2","United Kingdom","Afghanistan","Total","Total","Total positive decisions","Person","115",""
"2014Q2","United Kingdom","Afghanistan","Total","Total","Rejected","Person","155",""
"2014Q2","United Kingdom","Pakistan","Total","Total","Total","Person","730",""
"2014Q2","United Kingdom","Pakistan","Total","Total","Total positive decisions","Person","175",""
"2014Q2","United Kingdom","Pakistan","Total","Total","Rejected","Person","555",""
"2014Q2","United Kingdom","Iraq","Total","Total","Total","Person","75",""
"2014Q2","United Kingdom","Iraq","Total","Total","Total positive decisions","Person","25",""
"2014Q2","United Kingdom","Iraq","Total","Total","Rejected","Person","50",""
"2014Q2","United Kingdom","Syria","Total","Total","Total","Person","360",""
"2014Q2","United Kingdom","Syria","Total","Total","Total positive decisions","Person","310",""
"2014Q2","United Kingdom","Syria","Total","Total","Rejected","Person","45",""
"2014Q2","United Kingdom","Total","Total","Total","Total","Person","4,730",""
"2014Q2","United Kingdom","Total","Total","Total","Total positive decisions","Person","1,860",""
"2014Q2","United Kingdom","Total","Total","Total","Rejected","Person","2,865",""
"2014Q2","Switzerland","Albania","Total","Total","Total","Person","30",""
"2014Q2","Switzerland","Albania","Total","Total","Total positive decisions","Person","5",""
"2014Q2","Switzerland","Albania","Total","Total","Rejected","Person","25",""
"2014Q2","Switzerland","Serbia","Total","Total","Total","Person","55",""
"2014Q2","Switzerland","Serbia","Total","Total","Total positive decisions","Person","20",""
"2014Q2","Switzerland","Serbia","Total","Total","Rejected","Person","35",""
"2014Q2","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","100",""
"2014Q2","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","40",""
"2014Q2","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","60",""
"2014Q2","Switzerland","Russia","Total","Total","Total","Person","50",""
"2014Q2","Switzerland","Russia","Total","Total","Total positive decisions","Person","35",""
"2014Q2","Switzerland","Russia","Total","Total","Rejected","Person","15",""
"2014Q2","Switzerland","Extra EU-28","Total","Total","Total","Person","5,530",""
"2014Q2","Switzerland","Extra EU-28","Total","Total","Total positive decisions","Person","3,905",""
"2014Q2","Switzerland","Extra EU-28","Total","Total","Rejected","Person","1,630",""
"2014Q2","Switzerland","Eritrea","Total","Total","Total","Person","980",""
"2014Q2","Switzerland","Eritrea","Total","Total","Total positive decisions","Person","925",""
"2014Q2","Switzerland","Eritrea","Total","Total","Rejected","Person","55",""
"2014Q2","Switzerland","Afghanistan","Total","Total","Total","Person","605",""
"2014Q2","Switzerland","Afghanistan","Total","Total","Total positive decisions","Person","565",""
"2014Q2","Switzerland","Afghanistan","Total","Total","Rejected","Person","40",""
"2014Q2","Switzerland","Pakistan","Total","Total","Total","Person","15",""
"2014Q2","Switzerland","Pakistan","Total","Total","Total positive decisions","Person","5",""
"2014Q2","Switzerland","Pakistan","Total","Total","Rejected","Person","10",""
"2014Q2","Switzerland","Iraq","Total","Total","Total","Person","110",""
"2014Q2","Switzerland","Iraq","Total","Total","Total positive decisions","Person","90",""
"2014Q2","Switzerland","Iraq","Total","Total","Rejected","Person","20",""
"2014Q2","Switzerland","Syria","Total","Total","Total","Person","950",""
"2014Q2","Switzerland","Syria","Total","Total","Total positive decisions","Person","910",""
"2014Q2","Switzerland","Syria","Total","Total","Rejected","Person","40",""
"2014Q2","Switzerland","Total","Total","Total","Total","Person","5,545",""
"2014Q2","Switzerland","Total","Total","Total","Total positive decisions","Person","3,905",""
"2014Q2","Switzerland","Total","Total","Total","Rejected","Person","1,640",""
"2014Q3","Belgium","Albania","Total","Total","Total","Person","160",""
"2014Q3","Belgium","Albania","Total","Total","Total positive decisions","Person","15",""
"2014Q3","Belgium","Albania","Total","Total","Rejected","Person","145",""
"2014Q3","Belgium","Serbia","Total","Total","Total","Person","60",""
"2014Q3","Belgium","Serbia","Total","Total","Total positive decisions","Person","15",""
"2014Q3","Belgium","Serbia","Total","Total","Rejected","Person","50",""
"2014Q3","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","140",""
"2014Q3","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","5",""
"2014Q3","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","130",""
"2014Q3","Belgium","Russia","Total","Total","Total","Person","380",""
"2014Q3","Belgium","Russia","Total","Total","Total positive decisions","Person","100",""
"2014Q3","Belgium","Russia","Total","Total","Rejected","Person","280",""
"2014Q3","Belgium","Extra EU-28","Total","Total","Total","Person","4,825",""
"2014Q3","Belgium","Extra EU-28","Total","Total","Total positive decisions","Person","2,020",""
"2014Q3","Belgium","Extra EU-28","Total","Total","Rejected","Person","2,805",""
"2014Q3","Belgium","Eritrea","Total","Total","Total","Person","70",""
"2014Q3","Belgium","Eritrea","Total","Total","Total positive decisions","Person","60",""
"2014Q3","Belgium","Eritrea","Total","Total","Rejected","Person","10",""
"2014Q3","Belgium","Afghanistan","Total","Total","Total","Person","570",""
"2014Q3","Belgium","Afghanistan","Total","Total","Total positive decisions","Person","415",""
"2014Q3","Belgium","Afghanistan","Total","Total","Rejected","Person","155",""
"2014Q3","Belgium","Pakistan","Total","Total","Total","Person","95",""
"2014Q3","Belgium","Pakistan","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Belgium","Pakistan","Total","Total","Rejected","Person","90",""
"2014Q3","Belgium","Iraq","Total","Total","Total","Person","265",""
"2014Q3","Belgium","Iraq","Total","Total","Total positive decisions","Person","205",""
"2014Q3","Belgium","Iraq","Total","Total","Rejected","Person","60",""
"2014Q3","Belgium","Syria","Total","Total","Total","Person","370",""
"2014Q3","Belgium","Syria","Total","Total","Total positive decisions","Person","360",""
"2014Q3","Belgium","Syria","Total","Total","Rejected","Person","10",""
"2014Q3","Belgium","Total","Total","Total","Total","Person","4,850",""
"2014Q3","Belgium","Total","Total","Total","Total positive decisions","Person","2,025",""
"2014Q3","Belgium","Total","Total","Total","Rejected","Person","2,825",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Total","Person","590",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Total positive decisions","Person","15",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Rejected","Person","580",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Total","Person","2,930",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Rejected","Person","2,930",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","485",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","15",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","475",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Russia","Total","Total","Total","Person","550",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Russia","Total","Total","Total positive decisions","Person","120",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Russia","Total","Total","Rejected","Person","435",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Total","Person","20,655",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Total positive decisions","Person","9,585",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Rejected","Person","11,070",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Eritrea","Total","Total","Total","Person","370",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Eritrea","Total","Total","Total positive decisions","Person","320",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Eritrea","Total","Total","Rejected","Person","50",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Total","Person","1,525",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Total positive decisions","Person","1,055",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Rejected","Person","470",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Pakistan","Total","Total","Total","Person","600",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Pakistan","Total","Total","Total positive decisions","Person","160",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Pakistan","Total","Total","Rejected","Person","440",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Total","Person","730",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Total positive decisions","Person","710",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Rejected","Person","20",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Total","Person","5,785",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Total positive decisions","Person","5,250",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Rejected","Person","535",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","Person","20,680",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","9,585",""
"2014Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","11,095",""
"2014Q3","France","Albania","Total","Total","Total","Person","1,470",""
"2014Q3","France","Albania","Total","Total","Total positive decisions","Person","135",""
"2014Q3","France","Albania","Total","Total","Rejected","Person","1,335",""
"2014Q3","France","Serbia","Total","Total","Total","Person","170",""
"2014Q3","France","Serbia","Total","Total","Total positive decisions","Person","60",""
"2014Q3","France","Serbia","Total","Total","Rejected","Person","105",""
"2014Q3","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","1,295",""
"2014Q3","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","120",""
"2014Q3","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","1,175",""
"2014Q3","France","Russia","Total","Total","Total","Person","1,360",""
"2014Q3","France","Russia","Total","Total","Total positive decisions","Person","290",""
"2014Q3","France","Russia","Total","Total","Rejected","Person","1,070",""
"2014Q3","France","Extra EU-28","Total","Total","Total","Person","16,235",""
"2014Q3","France","Extra EU-28","Total","Total","Total positive decisions","Person","3,270",""
"2014Q3","France","Extra EU-28","Total","Total","Rejected","Person","12,965",""
"2014Q3","France","Eritrea","Total","Total","Total","Person","155",""
"2014Q3","France","Eritrea","Total","Total","Total positive decisions","Person","35",""
"2014Q3","France","Eritrea","Total","Total","Rejected","Person","120",""
"2014Q3","France","Afghanistan","Total","Total","Total","Person","160",""
"2014Q3","France","Afghanistan","Total","Total","Total positive decisions","Person","130",""
"2014Q3","France","Afghanistan","Total","Total","Rejected","Person","25",""
"2014Q3","France","Pakistan","Total","Total","Total","Person","350",""
"2014Q3","France","Pakistan","Total","Total","Total positive decisions","Person","35",""
"2014Q3","France","Pakistan","Total","Total","Rejected","Person","320",""
"2014Q3","France","Iraq","Total","Total","Total","Person","60",""
"2014Q3","France","Iraq","Total","Total","Total positive decisions","Person","50",""
"2014Q3","France","Iraq","Total","Total","Rejected","Person","10",""
"2014Q3","France","Syria","Total","Total","Total","Person","470",""
"2014Q3","France","Syria","Total","Total","Total positive decisions","Person","440",""
"2014Q3","France","Syria","Total","Total","Rejected","Person","30",""
"2014Q3","France","Total","Total","Total","Total","Person","16,235",""
"2014Q3","France","Total","Total","Total","Total positive decisions","Person","3,270",""
"2014Q3","France","Total","Total","Total","Rejected","Person","12,965",""
"2014Q3","Italy","Albania","Total","Total","Total","Person","25",""
"2014Q3","Italy","Albania","Total","Total","Total positive decisions","Person","15",""
"2014Q3","Italy","Albania","Total","Total","Rejected","Person","15",""
"2014Q3","Italy","Serbia","Total","Total","Total","Person","20",""
"2014Q3","Italy","Serbia","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Italy","Serbia","Total","Total","Rejected","Person","10",""
"2014Q3","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","30",""
"2014Q3","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","15",""
"2014Q3","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","15",""
"2014Q3","Italy","Russia","Total","Total","Total","Person","10",""
"2014Q3","Italy","Russia","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Italy","Russia","Total","Total","Rejected","Person","0",""
"2014Q3","Italy","Extra EU-28","Total","Total","Total","Person","9,405",""
"2014Q3","Italy","Extra EU-28","Total","Total","Total positive decisions","Person","5,500",""
"2014Q3","Italy","Extra EU-28","Total","Total","Rejected","Person","3,905",""
"2014Q3","Italy","Eritrea","Total","Total","Total","Person","430",""
"2014Q3","Italy","Eritrea","Total","Total","Total positive decisions","Person","380",""
"2014Q3","Italy","Eritrea","Total","Total","Rejected","Person","50",""
"2014Q3","Italy","Afghanistan","Total","Total","Total","Person","740",""
"2014Q3","Italy","Afghanistan","Total","Total","Total positive decisions","Person","700",""
"2014Q3","Italy","Afghanistan","Total","Total","Rejected","Person","40",""
"2014Q3","Italy","Pakistan","Total","Total","Total","Person","1,195",""
"2014Q3","Italy","Pakistan","Total","Total","Total positive decisions","Person","630",""
"2014Q3","Italy","Pakistan","Total","Total","Rejected","Person","565",""
"2014Q3","Italy","Iraq","Total","Total","Total","Person","205",""
"2014Q3","Italy","Iraq","Total","Total","Total positive decisions","Person","185",""
"2014Q3","Italy","Iraq","Total","Total","Rejected","Person","20",""
"2014Q3","Italy","Syria","Total","Total","Total","Person","85",""
"2014Q3","Italy","Syria","Total","Total","Total positive decisions","Person","65",""
"2014Q3","Italy","Syria","Total","Total","Rejected","Person","15",""
"2014Q3","Italy","Total","Total","Total","Total","Person","9,405",""
"2014Q3","Italy","Total","Total","Total","Total positive decisions","Person","5,500",""
"2014Q3","Italy","Total","Total","Total","Rejected","Person","3,905",""
"2014Q3","Hungary","Albania","Total","Total","Total","Person","0",""
"2014Q3","Hungary","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Hungary","Albania","Total","Total","Rejected","Person","0",""
"2014Q3","Hungary","Serbia","Total","Total","Total","Person","10",""
"2014Q3","Hungary","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Hungary","Serbia","Total","Total","Rejected","Person","10",""
"2014Q3","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","665",""
"2014Q3","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","655",""
"2014Q3","Hungary","Russia","Total","Total","Total","Person","5",""
"2014Q3","Hungary","Russia","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Hungary","Russia","Total","Total","Rejected","Person","5",""
"2014Q3","Hungary","Extra EU-28","Total","Total","Total","Person","1,060",""
"2014Q3","Hungary","Extra EU-28","Total","Total","Total positive decisions","Person","120",""
"2014Q3","Hungary","Extra EU-28","Total","Total","Rejected","Person","940",""
"2014Q3","Hungary","Eritrea","Total","Total","Total","Person","0",""
"2014Q3","Hungary","Eritrea","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Hungary","Eritrea","Total","Total","Rejected","Person","0",""
"2014Q3","Hungary","Afghanistan","Total","Total","Total","Person","55",""
"2014Q3","Hungary","Afghanistan","Total","Total","Total positive decisions","Person","20",""
"2014Q3","Hungary","Afghanistan","Total","Total","Rejected","Person","30",""
"2014Q3","Hungary","Pakistan","Total","Total","Total","Person","20",""
"2014Q3","Hungary","Pakistan","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Hungary","Pakistan","Total","Total","Rejected","Person","20",""
"2014Q3","Hungary","Iraq","Total","Total","Total","Person","5",""
"2014Q3","Hungary","Iraq","Total","Total","Total positive decisions","Person","5",""
"2014Q3","Hungary","Iraq","Total","Total","Rejected","Person","0",""
"2014Q3","Hungary","Syria","Total","Total","Total","Person","100",""
"2014Q3","Hungary","Syria","Total","Total","Total positive decisions","Person","45",""
"2014Q3","Hungary","Syria","Total","Total","Rejected","Person","55",""
"2014Q3","Hungary","Total","Total","Total","Total","Person","1,060",""
"2014Q3","Hungary","Total","Total","Total","Total positive decisions","Person","120",""
"2014Q3","Hungary","Total","Total","Total","Rejected","Person","940",""
"2014Q3","Netherlands","Albania","Total","Total","Total","Person","20",""
"2014Q3","Netherlands","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Netherlands","Albania","Total","Total","Rejected","Person","20",""
"2014Q3","Netherlands","Serbia","Total","Total","Total","Person","15",""
"2014Q3","Netherlands","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Netherlands","Serbia","Total","Total","Rejected","Person","15",""
"2014Q3","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","15",""
"2014Q3","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Netherlands","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","15",""
"2014Q3","Netherlands","Russia","Total","Total","Total","Person","40",""
"2014Q3","Netherlands","Russia","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Netherlands","Russia","Total","Total","Rejected","Person","30",""
"2014Q3","Netherlands","Extra EU-28","Total","Total","Total","Person","5,655",""
"2014Q3","Netherlands","Extra EU-28","Total","Total","Total positive decisions","Person","4,330",""
"2014Q3","Netherlands","Extra EU-28","Total","Total","Rejected","Person","1,325",""
"2014Q3","Netherlands","Eritrea","Total","Total","Total","Person","1,885",""
"2014Q3","Netherlands","Eritrea","Total","Total","Total positive decisions","Person","1,805",""
"2014Q3","Netherlands","Eritrea","Total","Total","Rejected","Person","80",""
"2014Q3","Netherlands","Afghanistan","Total","Total","Total","Person","180",""
"2014Q3","Netherlands","Afghanistan","Total","Total","Total positive decisions","Person","90",""
"2014Q3","Netherlands","Afghanistan","Total","Total","Rejected","Person","90",""
"2014Q3","Netherlands","Pakistan","Total","Total","Total","Person","35",""
"2014Q3","Netherlands","Pakistan","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Netherlands","Pakistan","Total","Total","Rejected","Person","25",""
"2014Q3","Netherlands","Iraq","Total","Total","Total","Person","180",""
"2014Q3","Netherlands","Iraq","Total","Total","Total positive decisions","Person","100",""
"2014Q3","Netherlands","Iraq","Total","Total","Rejected","Person","80",""
"2014Q3","Netherlands","Syria","Total","Total","Total","Person","1,745",""
"2014Q3","Netherlands","Syria","Total","Total","Total positive decisions","Person","1,635",""
"2014Q3","Netherlands","Syria","Total","Total","Rejected","Person","110",""
"2014Q3","Netherlands","Total","Total","Total","Total","Person","5,655",""
"2014Q3","Netherlands","Total","Total","Total","Total positive decisions","Person","4,330",""
"2014Q3","Netherlands","Total","Total","Total","Rejected","Person","1,325",""
"2014Q3","Slovenia","Albania","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Albania","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Serbia","Total","Total","Total","Person","5",""
"2014Q3","Slovenia","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Serbia","Total","Total","Rejected","Person","5",""
"2014Q3","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Russia","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Russia","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Russia","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Extra EU-28","Total","Total","Total","Person","20",""
"2014Q3","Slovenia","Extra EU-28","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Slovenia","Extra EU-28","Total","Total","Rejected","Person","10",""
"2014Q3","Slovenia","Eritrea","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Eritrea","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Eritrea","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Afghanistan","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Afghanistan","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Afghanistan","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Pakistan","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Pakistan","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Pakistan","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Iraq","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Iraq","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Iraq","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Syria","Total","Total","Total","Person","0",""
"2014Q3","Slovenia","Syria","Total","Total","Total positive decisions","Person","0",""
"2014Q3","Slovenia","Syria","Total","Total","Rejected","Person","0",""
"2014Q3","Slovenia","Total","Total","Total","Total","Person","20",""
"2014Q3","Slovenia","Total","Total","Total","Total positive decisions","Person","10",""
"2014Q3","Slovenia","Total","Total","Total","Rejected","Person","10",""
"2014Q3","Sweden","Albania","Total","Total","Total","Person","325",""
"2014Q3","Sweden","Albania","Total","Total","Total positive decisions","Person","5",""
"2014Q3","Sweden","Albania","Total","Total","Rejected","Person","320",""
"2014Q3","Sweden","Serbia","Total","Total","Total","Person","205",""
"2014Q3","Sweden","Serbia","Total","Total","Total positive decisions","Person","5",""
"2014Q3","Sweden","Serbia","Total","Total","Rejected","Person","200",""
"2014Q3","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","195",""
"2014Q3","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","20",""
"2014Q3","Sweden","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","180",""
"2014Q3","Sweden","Russia","Total","Total","Total","Person","140",""
"2014Q3","Sweden","Russia","Total","Total","Total positive decisions","Person","55",""
"2014Q3","Sweden","Russia","Total","Total","Rejected","Person","85",""
"2014Q3","Sweden","Extra EU-28","Total","Total","Total","Person","9,810",""
"2014Q3","Sweden","Extra EU-28","Total","Total","Total positive decisions","Person","7,660",""
"2014Q3","Sweden","Extra EU-28","Total","Total","Rejected","Person","2,150",""
"2014Q3","Sweden","Eritrea","Total","Total","Total","Person","1,170",""
"2014Q3","Sweden","Eritrea","Total","Total","Total positive decisions","Person","1,170",""
"2014Q3","Sweden","Eritrea","Total","Total","Rejected","Person","0",""
"2014Q3","Sweden","Afghanistan","Total","Total","Total","Person","500",""
"2014Q3","Sweden","Afghanistan","Total","Total","Total positive decisions","Person","390",""
"2014Q3","Sweden","Afghanistan","Total","Total","Rejected","Person","105",""
"2014Q3","Sweden","Pakistan","Total","Total","Total","Person","45",""
